Name,ID,Course,Level,Section,Cover_Letter,Major_Assignment,Choices,Num_missing,CD_R1,CD_R2,CD_R3,CD_AVE,ORG_R1,ORG_R2,ORG_R3,ORG_AVE,LU_R1,LU_R2,LU_R3,LU_AVE,SU_R1,SU_R2,SU_R3,SU_AVE
Benji,8615659,Writing,5,A,Yes,Yes,Yes,0,36,38,NA,37,34,38,NA,36,35,36,NA,35.5,36,37,NA,36.5
Velinda,3142048,Writing,5,B,Yes,Yes,Yes,0,39,36,NA,37.5,39,36,NA,37.5,40,37,NA,38.5,36,36,NA,36
Keonna,6687997,Writing,5,B,Yes,Yes,Yes,0,32,35,NA,33.5,33,35,NA,34,34,37,NA,35.5,31,32,NA,31.5
Shamia,9388978,Writing,5,B,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camren,6990380,Writing,5,A,Yes,Yes,Yes,0,34,32,NA,33,34,36,NA,35,32,34,NA,33,33,32,NA,32.5
Chonita,8010418,Writing,5,B,Yes,Yes,Yes,0,32,35,NA,33.5,33,35,NA,34,34,37,NA,35.5,31,32,NA,31.5
Renato,1199887,Writing,5,B,Yes,Yes,Yes,0,39,36,NA,37.5,39,36,NA,37.5,40,37,NA,38.5,36,36,NA,36
Deonna,4108470,Writing,5,A,Yes,Yes,Yes,0,40,40,NA,40,40,40,NA,40,40,40,NA,40,40,40,NA,40
Keyarra,8880235,Writing,5,A,Yes,Yes,Yes,0,40,40,NA,40,40,40,NA,40,40,40,NA,40,40,40,NA,40
Dean,2026252,Writing,5,A,Yes,Yes,Yes,0,36,35,NA,35.5,35,33,NA,34,34,36,NA,35,35,35,NA,35
Orrin,9406472,Writing,5,B,No,Yes,Yes,4,28,28,NA,28,28,29,NA,28.5,25,26,NA,25.5,28,29,NA,28.5
Kinser,1943083,Writing,5,B,No,Yes,Yes,4,28,28,NA,28,28,29,NA,28.5,25,26,NA,25.5,28,29,NA,28.5
Kameryn,9005368,Writing,5,B,Yes,Yes,Yes,0,39,36,NA,37.5,39,36,NA,37.5,40,37,NA,38.5,36,36,NA,36
Delman,4466638,Writing,5,B,Yes,Yes,Yes,0,33,32,NA,32.5,32,32,NA,32,32,33,NA,32.5,31,32,NA,31.5
Lanier,4126009,Writing,5,A,Yes,Yes,Yes,0,39,39,NA,39,36,37,NA,36.5,37,38,NA,37.5,38,36,NA,37
Lorianne,6287864,Writing,5,B,Yes,Yes,Yes,0,32,35,NA,33.5,33,35,NA,34,34,37,NA,35.5,31,32,NA,31.5
Quay,7087438,Writing,5,A,Yes,Yes,Yes,0,34,34,NA,34,34,33,NA,33.5,34,28,NA,31,34,31,NA,32.5
Mandy,2283880,Writing,5,A,Yes,Yes,Yes,0,34,34,NA,34,34,33,NA,33.5,34,28,NA,31,34,31,NA,32.5
Wilma,3731397,Writing,5,B,Yes,Yes,Yes,0,32,35,NA,33.5,33,35,NA,34,34,37,NA,35.5,31,32,NA,31.5
Denver,1298666,Writing,5,A,Yes,Yes,Yes,0,34,32,NA,33,34,36,NA,35,32,34,NA,33,33,32,NA,32.5
Jaimee,9351482,Writing,5,A,Yes,Yes,Yes,0,40,40,NA,40,40,40,NA,40,40,40,NA,40,40,40,NA,40
Chaya,1828475,Writing,5,B,Yes,Yes,Yes,0,38,38,NA,38,40,35,NA,37.5,39,40,NA,39.5,36,38,NA,37
Phylliss,5158757,Writing,5,A,Yes,Yes,Yes,0,28,31,31,29.5,27,35,27,31,28,31,30,29.5,28,32,28,30
Peggie,8786115,Writing,5,B,No,Yes,Yes,4,31,30,NA,30.5,32,32,NA,32,29,31,NA,30,28,28,NA,28
