Name,ID,Course,Level,Section,Cover_Letter,Major_Assignment,Choices,Num_missing,CD_R1,CD_R2,CD_R3,CD_AVE,ORG_R1,ORG_R2,ORG_R3,ORG_AVE,LU_R1,LU_R2,LU_R3,LU_AVE,SU_R1,SU_R2,SU_R3,SU_AVE
Rhena,1756718,Writing,6,A,Yes,Yes,Yes,0,38,38,NA,38,36,38,NA,37,36,38,NA,37,38,38,NA,38
Yaakov,3879528,Writing,6,A,Yes,Yes,Yes,0,38,38,NA,38,36,38,NA,37,36,38,NA,37,38,38,NA,38
Belvia,7978869,Writing,6,A,Yes,Yes,Yes,0,35,35,NA,35,36,32,NA,34,34,32,NA,33,34,32,NA,33
Naveena,5540571,Writing,6,A,Yes,Yes,Yes,0,36,36,NA,36,38,36,NA,37,36,36,NA,36,36,36,NA,36
Lindsey,9448532,Writing,6,A,Yes,Yes,Yes,0,36,36,NA,36,35,36,NA,35.5,35,36,NA,35.5,35,32,NA,33.5
Remus,6176515,Writing,6,A,Yes,Yes,Yes,0,40,40,NA,40,38,38,NA,38,38,38,NA,38,40,38,NA,39
Temple,7043380,Writing,6,A,Yes,Yes,Yes,0,40,40,NA,40,38,38,NA,38,38,38,NA,38,40,38,NA,39
Shantrell,5033445,Writing,6,A,Yes,Yes,Yes,0,38,38,NA,38,38,38,NA,38,36,38,NA,37,36,38,NA,37
Genesis,8711838,Writing,6,A,Yes,Yes,Yes,0,34,32,NA,33,32,32,NA,32,32,32,NA,32,32,32,NA,32
Kyle,1726916,Writing,6,A,Yes,Yes,Yes,0,34,32,NA,33,32,32,NA,32,32,32,NA,32,32,32,NA,32
Cherilynn,4820265,Writing,6,A,Yes,Yes,Yes,0,36,36,NA,36,35,36,NA,35.5,35,36,NA,35.5,35,32,NA,33.5
Edna,1135272,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luwanna,7165099,Writing,6,A,Yes,Yes,Yes,0,40,40,NA,40,38,38,NA,38,38,38,NA,38,40,38,NA,39
Albertus,7097940,Writing,6,A,Yes,Yes,Yes,0,36,36,NA,36,38,36,NA,37,36,36,NA,36,36,36,NA,36
